cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,dat_responsabilidad_total
201611,40036,23,1,181,169,38101158
201611,40060,24,2,16,8,76978831
201611,40062,29,2,1,1,412024
201611,40059,25,4,2,1,95895602
201611,40044,25,3,19,11,198923413
201611,40014,12,1,952,700,472217479
201611,40058,22,3,4,3,46705713
201611,40044,24,4,19,8,1043764265
201611,40062,28,3,28,4,14470550
201611,40062,30,1,7,3,2117246
201611,40136,30,4,1,1,9149029
201611,40059,23,3,5,4,88029032
201611,40044,17,2,11,5,90303673
201611,40133,11,4,6,2,162256338
201611,40044,5,3,18,10,96193240
201611,40131,16,1,205,198,3372705
201611,40044,6,2,5,4,31118470
201611,40133,13,2,2,2,554293
201611,40136,16,4,2,2,6176572
201611,40113,1,2,16,13,12320768
201611,40113,23,3,1,1,157496
201611,40042,2,4,1,1,14045401
201611,40042,1,2,6,5,23010867
201611,40044,2,3,20,10,130731425
201611,40112,25,4,21,7,247609252
201611,40012,20,4,358,10,618284899
201611,40014,18,4,6,2,189095280
201611,40021,1,2,155,64,44987652
201611,40062,12,2,95,27,28961996
201611,40012,31,2,368,207,433201869
201611,40021,2,1,988,490,88503005
201611,40072,17,2,209,143,180487190
201611,40137,8,2,3,2,2062878
201611,40058,30,1,115,87,38536406
201611,40150,30,4,5,1,28040935
201611,40021,31,1,1384,511,160023800
201611,40138,7,2,2,2,48673173
201611,40147,29,2,4,2,10295627
201611,40147,28,3,1,1,7444697
201611,40072,16,3,33,21,138871756
201611,40150,30,1,2,2,5523331
201611,40059,28,4,1,1,29767
201611,40143,26,1,1,1,197490
201611,40002,27,1,209,168,159949900
201611,40058,28,3,54,30,288551571
201611,40021,28,1,1145,534,147528525
201611,40113,28,1,617,515,349375785
201611,40136,10,1,1,1,101664
201611,40113,25,4,22,10,924765018
201611,40021,30,2,807,175,111813533
201611,5,14,1,34717,21567,14137482963
201611,40021,27,2,290,149,88261044
201611,40138,8,1,6,2,19132518
201611,40112,31,1,3,2,422454
201611,40002,20,2,1039,793,431097062
201611,40113,26,3,8,5,39468043
201611,40059,31,1,3,3,47992580
201611,40012,15,2,4767,1515,2638933390
201611,40044,17,4,4,4,119033465
201611,40030,12,2,31,15,14734412
201611,40036,19,1,266,224,56440934
201611,40014,13,2,226,143,275327616
201611,40138,24,4,4,2,100906423
201611,40012,16,1,7875,5817,1856220754
201611,40154,30,3,1,1,2898235
201611,40036,18,2,14,11,3578586
201611,40044,13,2,9,7,41470237
201611,40156,23,4,3,3,95542341
201611,40044,20,1,13,9,1904406
201611,40147,23,1,6,1,51610
201611,40102,17,1,1,1,9198270
201611,40102,14,1,3,3,32912511
201611,40108,14,4,1,1,144181139
201611,40132,28,4,1,1,15102508
201611,40059,19,2,9,8,19805304
201611,5,15,3,2550,365,5837993599
201611,5,17,1,5166,3302,1608978972
201611,40133,30,1,4,4,7844473
201611,40062,27,2,3,2,2220560
201611,40132,8,4,9,2,202461719
201611,40060,14,1,270,161,454085167
201611,40060,11,4,1,1,1668208
201611,40131,30,3,1,1,26830
201611,40062,28,1,290,104,66509839
201611,40136,32,4,1,1,4048308
201611,40002,24,2,697,566,439189024
201611,40138,13,1,2,2,854868
201611,40138,30,4,224,4,102640282
201611,40072,26,4,160,37,1678106652
201611,40030,31,4,29,6,491535957
201611,40044,8,5,1,1,41071170
201611,40012,29,3,131,7,79010392
201611,40102,19,3,1,1,10006986
201611,5,16,4,26946,119,19674653366
201611,40128,3,4,1,1,60837499
201611,40110,15,4,3,3,195766094
201611,40044,10,3,3,2,12297540
201611,40044,11,2,26,15,148096987
201611,40102,21,1,1,1,9198644
201611,40002,30,3,136,60,617318711
201611,40002,32,4,3,2,64142296
201611,40030,11,4,2287,111,9331769363
201611,40014,27,3,45,21,234981237
201611,40112,17,4,1,1,30395984
201611,40042,9,2,210,154,1625944387
201611,40072,32,1,795,584,258852350
201611,40021,15,5,1,1,57440980
201611,40036,25,5,2,1,3990086488
201611,40072,3,4,42,14,1815972752
201611,40143,17,1,1,1,2059012
201611,40030,20,4,13,1,37697318
201611,40154,32,2,3,3,7737838
201611,40145,28,2,1,1,5001260
201611,40147,26,2,19,9,197267905
201611,40112,19,1,78,6,89109380
201611,40030,22,2,857,139,636474355
201611,40102,9,2,48,39,370061940
201611,40137,25,1,3,3,4690982
201611,40002,11,4,175,56,5935052464
201611,40021,13,3,2,2,2538423
201611,40131,23,1,82,80,1150657
201611,40072,28,1,1268,868,624210944
201611,40062,29,1,1,1,1
201611,40012,7,4,272,27,1149906945
201611,40062,26,4,3,1,5400000
201611,40044,20,4,7,4,268330304
201611,40002,13,2,788,665,493596549
201611,40044,23,1,8,5,18414590
201611,40044,22,2,24,17,118840975
201611,40072,25,4,257,43,4857082799
201611,40002,12,3,6,5,12335587
201611,40062,28,2,186,72,95788230
201611,40128,15,4,6,6,63119752
201611,40132,31,4,18,4,190567339
201611,40030,8,2,193,87,261287875
201611,40044,16,4,8,4,404140482
201611,40042,15,3,18,13,102962761
201611,40012,32,4,14,8,103453814
201611,40044,19,1,37,29,148670722
201611,40021,16,2,349,128,96175874
201611,40042,17,1,3,3,1325795
201611,40002,1,2,533,401,341107116
201611,40147,29,1,22,20,30745303
201611,40072,4,4,38,9,1101025253
201611,40145,14,4,12,6,73748779
201611,40059,30,3,5,5,38442932
201611,40072,7,1,957,738,370732595
201611,40012,15,4,9972,177,17510938217
201611,40150,12,4,3,1,10474868
201611,40150,15,1,1,1,4634589
201611,40147,14,2,6,2,17993215
201611,40154,21,4,1,1,55013710
201611,40143,11,1,5,3,9540443
201611,40072,6,2,197,122,155072225
201611,40014,13,4,54,11,1590233614
201611,40012,16,3,220,31,223702645
201611,40113,2,3,8,6,73003844
201611,40147,12,1,2,1,42085
201611,40021,23,3,12,6,21116464
201611,40138,2,4,1,1,36177696
201611,40042,19,4,11,7,711542237
201611,40060,22,1,1,1,12245854
201611,40002,3,2,562,458,271798788
201611,40042,22,1,5,4,43980440
201611,40030,17,4,1,1,20136677
201611,40136,24,4,1,1,39490
201611,40102,9,4,19,12,281967791
201611,40060,19,4,1,1,171367578
201611,40138,3,3,1,1,13654282
201611,40072,1,3,42,19,101074106
201611,40072,2,2,1100,536,1022171411
201611,40131,4,1,31,30,622928
201611,40036,999,4,95,18,27742455846
201611,40044,7,1,8,5,1393301
201611,40012,29,4,14,4,130956738
