cve_periodo,cve_institucion,sector,plazo_venc,plazo,tasa,cve_tipo_moneda
201512,040012,20,19.24,26.76,7.9,0
201612,040014,14,11.01,13.83,7.58,0
201612,040014,8,30.43,41.17,8.85,0
201512,040044,4,43.89,59.08,5.3,0
201512,040072,9,35.36,44.23,7.98,0
201612,040014,11,28.44,37.94,9.11,0
201512,040014,2,31.88,41.68,9.93,0
201612,040044,7,35.6,58.79,7.36,0
201512,040021,5,37.12,45.56,7.57,0
201612,040044,1,37.2,55.07,7.58,0
201512,040044,23611,38.01,43.35,6.66,0
201612,040002,7,64.81,76.88,8.39,0
201612,040044,2,50.87,52.87,14.54,0
201512,040002,11,23.97,32.23,6.18,0
201612,040036,13,133.94,137.22,11.33,0
201612,040002,5999,47.55,70.51,9.43,0
201612,040072,12,23.16,47.31,10.55,0
201612,040044,14,30.21,14.89,6.98,0
201512,040012,9,27.05,34.05,7.86,0
201512,040002,23,25.51,51.36,6.25,0
201512,040044,20,28.19,57.46,6.72,0
201512,040044,15,42.05,58.2,6.48,0
201512,040021,15,32.8,43.51,8.65,0
201512,040012,10,80.06,100.3,6.76,0
201512,040072,21,19.09,29.29,7.57,0
201612,040044,5999,23.74,61.04,8.62,0
201612,040036,14,186.02,194.63,7.74,0
201512,040044,5,34.86,62.35,6.38,0
201612,040044,20,38.23,57.9,9.08,0
201612,040012,5,52.58,69.23,8.7,0
201512,040044,23,29.8,54.23,7.47,0
201512,040012,21,12.96,19.33,6.3,0
201512,040036,4,82.92,92.53,6.17,0
201512,040072,23,65.76,84.44,8.26,0
201612,040012,8,28.34,35.89,8.01,0
201512,040021,11,24.4,31.32,5.96,0
201512,040012,5,58.19,70.29,6.81,0
201512,040036,1,50.28,58.07,7.7,0
201512,040021,23,42.73,63.91,6.68,0
201612,040021,5,31.7,54.07,8.48,0
201612,040012,5999,63.57,86.04,9.06,0
201512,040002,1,23.78,31.23,5.65,0
201612,040036,23,119.94,133.58,9.21,0
201612,040014,19,4.92,6.92,10.92,0
201512,040002,12,21.68,33.92,7.94,0
201512,040014,7,44.3,71.39,8.27,0
201512,040002,4,5.61,15.73,5.84,0
201612,040002,15,43,51.29,8.52,0
201612,040044,21,46.06,60.16,7.57,0
201512,040072,12,25.75,50.06,8.96,0
201512,040002,13,20.94,25.55,9.52,0
201612,040036,15,70.07,69.82,9.21,0
201512,040002,16,53.2,65.37,5.75,0
201612,040014,12,45.24,56.88,10.84,0
201612,040012,23611,35.23,43.55,8.28,0
201512,040072,5,94.38,101.99,6.86,0
201512,040002,20,19.28,28.61,6.79,0
201512,040072,14,20.67,34.75,7.72,0
201512,040014,16,57.22,66.06,6.73,0
201512,040072,13,18.7,26,9.11,0
201512,040036,5,172.67,196.78,6.43,0
201512,040036,22,24.89,19.58,19.08,0
201612,040002,14,37.43,48.07,6.51,0
201512,040044,9,14.09,39.57,4.25,0
201512,040002,2,15.61,23.36,8.95,0
201512,040044,6,49.08,71.23,6.67,0
201512,040002,5999,53.37,72.91,8.51,0
201612,040002,2,23.75,28.58,10.11,0
201612,040014,20,17.38,25.27,10,0
201512,040072,5999,109.14,123.21,6.87,0
201612,040002,5,42.88,67.26,9.34,0
201512,040072,4,49.2,54.47,5.92,0
201612,040014,15,46.27,54.98,9.79,0
201612,040072,3,27.8,37.86,10.5,0
201612,040021,16,27.13,33.28,9.53,0
201512,040036,12,36.89,47.64,6.72,0
201512,040014,4,14.31,22.5,4.64,0
201612,040044,4,62.04,72.3,7.2,0
201612,040002,16,47.05,63.71,7.35,0
201612,040036,6,74.6,86.34,9.36,0
201612,040044,9,53.49,56.64,6.7,0
201612,040002,18,39,73,7.08,0
201612,040044,15,43.33,60.88,8.22,0
201512,040072,17,167,198,6.68,0
201512,040044,5999,33.75,71.58,6.22,0
201612,040012,23,42.82,54.58,10.55,0
201612,040002,13,19.06,23.94,10.86,0
201612,040036,1,61.12,84.01,11.2,0
201612,040002,12,49.66,56.49,8.36,0
201512,040072,11,35.1,45.64,7.89,0
201612,040012,17,155,194,8.82,0
201512,040021,14,34.2,49.34,4.38,0
201612,040014,22,40.87,56.96,8.34,0
