cve_institucion,cve_periodo,cve_concepto,dato
040036,201504,3,5.4071
040036,201504,4,4.0025
040036,201504,6,128
040036,201504,7,15429097198
040036,201505,1,509
040036,201505,2,314
040036,201505,3,5.7584
040036,201505,4,3.995
040036,201505,6,29
040036,201505,7,6537582670
040036,201506,1,532
040036,201506,2,313
040036,201506,3,6.3682
040036,201506,4,5.5689
040036,201506,6,25
040036,201506,7,6148712354
040036,201507,1,607
040036,201507,2,221
040036,201507,3,6.1991
040036,201507,4,4.9579
040036,201507,6,40
040036,201507,7,6632468574
040036,201508,1,537
040036,201508,2,165
040036,201508,3,6.2948
040036,201508,4,4.9294
040036,201508,6,54
040036,201508,7,7440850374
040036,201509,1,353
040036,201509,2,117
040036,201509,3,5.6449
040036,201509,4,5.4595
040036,201509,6,23
040036,201509,7,4798446564
040036,201510,1,390
040036,201510,2,114
040036,201510,3,5.8335
040036,201510,4,5.7378
040036,201510,6,20
040036,201510,7,8101066660
040036,201511,1,280
040036,201511,2,129
040036,201511,3,5.6911
040036,201511,4,3.6411
040036,201511,6,32
040036,201511,7,14265479851
040036,201512,1,587
040036,201512,2,187
040036,201512,3,5.7689
040036,201512,4,4.6613
040036,201512,6,49
040036,201512,7,19106943129
040036,201601,1,483
040036,201601,2,153
040036,201601,3,5.378
040036,201601,4,4.6118
040036,201601,6,50
040036,201601,7,19859615747
040036,201602,1,297
040036,201602,2,127
040036,201602,3,5.9936
040036,201602,4,4.8359
040036,201602,6,25
040036,201602,7,6528228921
040036,201603,1,345
040036,201603,2,127
040036,201603,3,6.5209
040036,201603,4,6.0708
040036,201603,6,276
040036,201603,7,9898522061
040036,201604,1,393
040036,201604,2,114
040036,201604,3,6.3155
040036,201604,4,4.9609
040036,201604,6,132
040036,201604,7,23145086419
040036,201605,1,283
040036,201605,2,100
040036,201605,3,7.0095
040036,201605,4,5.941
040036,201605,6,64
040036,201605,7,7024881823
040036,201606,1,291
040036,201606,2,132
040036,201606,3,6.5891
040036,201606,4,5.3104
040036,201606,6,33
040036,201606,7,11150849683
040036,201607,1,303
040036,201607,2,96
040036,201607,3,6.3722
040036,201607,4,7.7201
040036,201607,6,59
040036,201607,7,9248365227
040036,201608,1,346
040036,201608,2,117
040036,201608,3,6.7664
040036,201608,4,3.3846
040036,201608,6,54
040036,201608,7,8754634265
040036,201609,1,268
040036,201609,2,94
040036,201609,3,6.7602
040036,201609,4,5.5462
040036,201609,6,62
040036,201609,7,19617255403
040036,201610,1,302
040036,201610,2,100
040036,201610,3,7.3745
040036,201610,4,5.0704
040036,201610,6,47
040036,201610,7,7546370338
040036,201611,1,229
040036,201611,2,81
040036,201611,3,7.6467
040036,201611,4,5.6744
040036,201611,6,56
040036,201611,7,17305568027
040036,201612,1,205
040036,201612,2,97
040036,201612,3,8.6385
040036,201612,4,5.1544
040036,201612,6,55
040036,201612,7,4046932199
040044,201501,1,564
040044,201501,2,484
040044,201501,3,5.4598
040044,201501,4,2.9881
040044,201501,6,38
040044,201501,7,5828688803
040044,201502,1,478
040044,201502,2,434
040044,201502,3,5.5315
040044,201502,4,3.0947
040044,201502,6,40
040044,201502,7,5360436139
040044,201503,1,577
040044,201503,2,508
040044,201503,3,5.5274
040044,201503,4,3.1169
040044,201503,6,42
040044,201503,7,6357409493
040044,201504,1,547
040044,201504,2,488
040044,201504,3,5.2569
040044,201504,4,2.9665
040044,201504,6,56
040044,201504,7,9475031626
040044,201505,1,624
040044,201505,2,536
040044,201505,3,5.8438
040044,201505,4,3.1437
040044,201505,6,51
040044,201505,7,8065847872
040044,201506,1,615
040044,201506,2,535
040044,201506,3,5.6181
040044,201506,4,3.2163
040044,201506,6,40
