cve_periodo,cve_institucion,cve_TEC,cve_dato,saldo
201603,040012,2,3,36610
201508,040036,3,2,195043592
201602,040014,1,0,42896680520
201512,040002,3,4,994
201506,040036,1,0,1764986933
201511,040044,1,1,1464770080
201504,040002,1,1,7547590200
201611,040014,1,4,45025
201509,040014,5,2,54652944
201507,040014,5,1,3759214313
201504,040072,3,4,1285
201602,040012,3,2,573303157
201609,040021,4,2,5595181269
201507,040012,3,1,13147303636
201610,040072,5,1,5902901759
201508,040072,1,4,15086
201608,040002,5,3,7
201608,040021,5,0,3322799409
201501,040014,3,1,10291151620
201610,040021,5,2,394745159
201507,040002,4,1,1.4047E+11
201501,040012,4,1,2.18461E+11
201504,040021,2,1,5480687719
201612,5,1,2,7362261117
201609,040002,2,4,36198
201603,5,3,1,65947042924
201507,040012,5,1,3073816430
201512,040072,2,1,25323778127
201510,040012,5,3,39
201506,040021,1,1,4305087324
201508,040012,5,1,2578419618
201605,040002,3,0,8737379243
201502,5,3,2,2494414975
201611,040036,4,4,391
201502,040014,2,0,29269155386
201602,040072,1,2,824481195
201609,040012,4,3,242599
201601,040014,1,1,41853932079
201603,040021,3,4,417
201606,040014,3,0,11281340244
201607,040014,3,1,10936766943
201511,040044,3,3,319
201602,040021,1,2,291302979
201504,040002,4,3,3638
201605,040002,1,2,153852620
201605,040021,5,0,3379321858
201501,040044,4,4,521
201505,5,1,0,1.40739E+11
201608,5,5,0,85220445878
201501,040036,4,2,4207351057
201610,040012,5,4,13
201610,040014,3,0,11393161714
201603,040012,5,0,2695108270
201501,040002,3,3,1878
201601,040012,4,4,1890
201609,040072,1,3,30882
201601,5,1,0,1.59363E+11
201601,040014,1,2,974206731
201606,040014,2,0,34298265827
201610,040044,4,3,1110
201510,5,1,0,1.53698E+11
201509,040012,4,4,1857
201603,040021,1,2,361141328
201512,5,1,1,1.5084E+11
201609,5,3,0,68238158231
201610,040002,3,4,953
201602,040014,4,2,4746360389
201510,040014,2,1,31198778659
201508,040021,5,4,13
201610,040021,4,0,1.20165E+11
