cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,MDMC
201512,040012,32,1,19,15,19670269
201612,040012,30,1,64,45,75171470
201512,040072,15,2,197,183,144563424
201512,5,13,3,25,12,84426090
201512,5,14,2,2752,1267,2120614843
201512,040072,16,1,23,23,19778203
201512,040021,28,1,121,105,8152295
201612,040014,27,2,10,10,37188574
201612,040044,14,1,11,10,11460250
201512,040012,29,1,7,7,9683368
201612,040072,16,4,32,13,400494656
201612,040021,1,2,20,18,2791934
201512,5,12,4,9,2,68227931
201612,040021,32,3,1,1,615485
201512,040014,28,3,28,17,77947217
201512,040014,25,3,53,28,110501131
201612,040014,25,4,63,28,393726390
201512,040036,11,2,15,6,42185304
201612,040012,28,3,131,11,22915804
201612,040014,28,1,71,67,84330879
201512,040012,28,2,63,21,50185014
201512,5,15,1,1348,846,814298434
201612,040021,2,1,111,110,5688735
201612,040012,6,3,39,2,27694176
201512,040072,15,1,116,115,66704216
201612,5,10,4,94,26,1254019031
201512,5,5,4,7490,56,3184910712
201612,5,21,2,716,399,647986292
201612,5,22,1,538,394,403992786
201612,5,18,2,244,97,171145283
201612,040012,7,2,54,18,32092229
201612,040002,27,3,1,1,300000
201612,040012,5,4,6659,15,323930723
201512,040012,19,4,15554,74,8149799097
201612,040012,8,1,118,84,68271063
201612,040072,29,1,30,28,6514948
201612,040012,4,2,5,4,7017848
201612,040014,4,3,3,3,25449531
201512,040072,13,3,5,3,11015837
201512,040044,1,4,13,7,69837831
201612,040002,2,2,79,75,134924783
201612,040044,11,2,4,4,5446391
201612,040044,8,5,1,1,207800
201612,040012,2,4,1205,23,498210744
201612,040072,26,4,24,11,899949816
201612,040072,27,3,2,2,76
201512,040044,4,1,1,1,1103080
201612,5,19,4,28411,373,39464015623
201612,5,9,5,36,7,380025603
201512,040012,22,1,96,50,70794457
201612,040002,11,2,110,98,112906522
201512,040072,21,4,2,2,20100000
201612,040012,25,4,10306,25,1125803666
201612,040014,19,2,88,78,279947092
201612,040002,7,3,2,2,13400000
201612,040002,9,1,272,262,415533866
201612,5,30,4,837,67,3025749351
201512,040002,2,1,20,19,38417050
201612,040012,20,3,13,3,7825000
201612,040002,18,1,5,5,474534
201512,040014,26,4,98,22,205832103
201512,040014,27,3,6,5,19138698
201612,040021,23,4,119,10,180469268
201512,040072,23,2,14,14,14197558
201612,040014,18,3,1,1,270000
201612,5,32,2,343,232,274532091
201512,5,21,3,243,48,272947833
201512,040012,1,2,85,12,48896345
201612,040012,22,1,80,46,74904997
201512,040012,31,1,128,19,63501174
201612,040002,10,3,3,3,20250000
201612,5,31,3,78,26,150693436
201612,040012,28,1,111,28,67227850
201612,040014,10,4,13,5,102269550
201512,5,3,2,157,72,48866576
201512,5,5,3,148,43,316239318
201512,040014,16,1,98,87,65309389
201612,040014,9,2,254,202,859664122
201512,040014,16,4,24,13,199958454
201612,040014,9,5,23,1,211468713
201512,040012,18,4,3,3,55368327
201512,040044,2,2,7,7,13598024
201612,040012,11,2,57,25,71225180
201612,040014,4,4,5,1,131000000
201612,040012,6,4,12,5,77396919
201512,5,28,3,327,46,370133175
201512,040012,19,3,332,29,222475706
201612,040021,16,1,150,121,9516805
201512,040012,21,1,185,78,148844720
201612,040002,28,1,18,18,14102147
201512,040072,6,3,5,3,11848000
201612,040012,14,2,833,71,342103054
201512,040072,7,2,45,42,61823593
201612,040014,12,2,5,5,11044000
201512,040014,18,2,5,5,16659214
201512,5,29,2,137,26,44528389
201512,5,2,3,178,38,287355035
201512,040014,15,2,102,69,168740871
201512,040012,16,3,43,5,30444679
201512,5,3,5,15,2,28782887
201512,5,6,2,187,105,101867312
201612,040012,8,2,62,26,50343765
201612,040014,11,3,7,5,45606075
201612,040014,2,3,10,9,83946378
201512,040002,9,1,279,269,371416790
201512,040021,26,4,317,12,483434108
201512,040014,21,2,33,29,74515853
201512,040002,6,4,29,5,268854778
201512,040021,23,4,146,6,68474334
201512,040021,26,1,129,107,34595536
201512,040021,28,2,154,67,18961234
201612,040014,1,4,12,5,47905002
201612,040072,30,4,3,3,11808101
201512,040021,25,2,60,38,32320905
201512,040012,23,2,35,11,51226291
201612,040044,4,3,2,1,20500000
201512,040021,7,4,1,1,20000000
201512,040072,27,1,23,21,6007732
201512,040021,2,3,62,3,8773965
201612,040036,30,4,4,1,4160000
201512,040021,3,2,11,11,815951
201512,040072,25,3,20,13,50957915
201512,040002,26,3,11,8,29220842
201612,040014,15,1,67,66,95567510
201612,040002,32,2,19,19,15782627
201512,040021,17,2,20,19,919435
201612,040012,14,4,3469,84,2866583203
201512,040021,15,4,870,26,1807939345
201612,040014,21,1,54,53,79995650
201612,040014,19,3,43,35,212395950
201512,040072,7,3,4,4,9409999
201612,040002,31,3,2,2,6092947
201512,040072,31,2,33,33,50680856
201512,040021,13,3,1,1,495355
201612,040012,17,1,30,21,22875603
201612,040012,22,2,29,19,31476619
201612,040044,22,3,4,3,5391951
201512,040021,16,3,149,6,31788657
201512,040036,30,4,8,3,112470591
201512,040002,12,1,7,7,5464788
201512,040072,10,2,33,32,34145498
201612,040021,7,4,3,2,60034428
201512,040002,12,4,1,1,32823
201612,040021,10,1,74,50,3896433
201612,040072,30,1,170,151,18617117
201612,040044,32,2,4,4,12502528
201512,040072,23,1,36,35,19042816
201512,040072,22,2,74,66,47048944
201612,040072,18,1,60,57,4631100
201612,040012,3,1,29,12,13548427
201612,040002,20,2,29,29,10717119
201612,040021,21,4,131,13,619678338
201612,040072,13,3,7,5,10369907
201612,040002,1,1,18,18,15074449
201512,040044,10,3,1,1,4000000
201612,040021,24,1,125,84,20267984
201612,040021,30,4,378,14,1376001432
201612,040002,19,3,16,11,46382842
201612,040014,30,1,59,57,92360115
201612,040014,29,2,3,3,9091993
