cve_periodo,cve_institucion,Concentracion,Monto_Acumulado,Participacion_Acumulada
201604,040012,Cliente 140,1.64285E+11,0.4818
201612,040036,Cliente 8,67147355591,0.3788
201508,040072,Cliente 70,73270366463,0.4289
201502,040002,Cliente 50,53266669168,0.3101
201508,040072,Cliente 6,17810897104,0.1043
201602,040012,Cliente 3,21286478480,0.0624
201510,040014,Cliente 5,22444486688,0.0944
201611,040036,Cliente 4,38429614991,0.2072
201606,040014,Cliente 4,21865470050,0.0854
201502,040002,Cliente 1000,1.3545E+11,0.7885
201507,040021,Cliente 15,29121918335,0.2462
201502,040036,Cliente 18,71787424597,0.5153
201612,040014,Cliente 20,57113363120,0.2073
201512,040036,Cliente 70,1.28569E+11,0.849
201504,040072,Cliente 4,12208665116,0.0723
201604,040014,Cliente 160,1.10847E+11,0.4572
201604,040002,Cliente 20,37099846269,0.1872
201612,040012,Cliente 50,1.1914E+11,0.3054
201608,040072,Cliente 40,63655282686,0.3371
201511,040036,Cliente 100,1.26182E+11,0.8943
201610,040002,Cliente 3,12506629402,0.0539
201504,040014,Cliente 3,22517975352,0.0972
201611,040012,Cliente 40,1.05184E+11,0.2705
201601,040036,Cliente 30,1.08957E+11,0.6778
201506,040002,Cliente 15,33213720082,0.1811
201605,040036,Cliente 9,57884409941,0.365
201501,040002,Cliente 170,92271027766,0.5314
201512,040021,Cliente 400,1.09712E+11,0.869
201602,040021,Cliente 1000,1.22921E+11,0.9463
201601,040014,Cliente 50,79203408667,0.3112
201508,040014,Cliente 40,61124438185,0.2681
201608,040044,Cliente 500,82634541972,0.9
201606,040021,Cliente 500,1.21887E+11,0.9004
201602,040014,Cliente 160,1.22034E+11,0.4827
201508,040014,Cliente 60,73203115818,0.3211
201610,040072,Cliente 1000,1.5208E+11,0.7866
201602,040002,Cliente 10,37856122389,0.1779
201505,040036,Cliente 20,88267299646,0.5606
201607,040012,Cliente 6,34368842038,0.0934
201511,040072,Cliente 19,39310925651,0.2238
201501,040002,Cliente 11,23864133863,0.1374
201601,040014,Cliente 40,72191635178,0.2837
201601,040002,Cliente 160,1.15745E+11,0.5341
201603,040072,Cliente 130,1.00705E+11,0.5402
201607,040012,Cliente 100,1.56833E+11,0.4261
201509,040002,Cliente 70,80769095485,0.4043
201507,040036,Cliente 90,1.32153E+11,0.8785
