cve_periodo,cve_institucion,cve_estado,cartera_total,imor,creditos,acreditados
201512,040014,3,2078143071,0.1747,361,243
201512,040072,7,1074702187,10.0827,1371,1055
201512,040002,16,2649527383,0.3087,1550,1284
201512,040002,17,1171875549,0.9224,785,655
201512,040014,21,9409553403,0.53,1478,922
201512,040021,19,12028779438,6.8036,24222,1265
201512,040036,3,287005106,0.9951,49,45
201512,040036,99,1.51433E+11,2.327,8700,5266
201612,040002,28,4124558766,0.2608,1257,1036
201612,040012,9,1.61955E+11,1.1571,68344,14317
201612,040012,13,2740408760,2.4412,1512,980
201612,040012,23,15841873923,0.2953,5564,546
201612,040021,14,7251790520,3.8896,8485,1900
201612,040036,31,715447754,15.8471,212,131
201612,040072,22,1312174211,2.0288,1107,809
201612,040014,18,399802200,1.179,361,284
201612,040014,32,391191802,3.6614,303,218
201612,040021,8,2467710696,2.0958,2398,694
201612,040036,21,2956457803,0.8522,357,304
201612,040072,11,3035155403,4.3502,2232,1669
201612,040002,15,21798554375,0.6264,7123,5777
201612,040002,18,347666279,1.3395,272,236
201612,040014,4,2067355201,2.2754,327,258
201612,040014,7,822938578,1.7252,707,555
201612,040021,11,4157637029,30.2513,2281,664
201612,040036,20,18643360,12.3176,234,191
201612,040002,21,7634472383,0.2777,1944,1539
201612,040021,25,4285653300,7.1966,4390,533
201612,040072,1,1244883914,1.3859,919,630
201612,040072,3,2550425529,0.3603,991,579
201612,040072,14,10325979906,1.6172,6756,4066
201512,040012,24,2587037217,0.4836,2036,690
201512,040012,31,3254087020,0.4348,1343,564
201512,040014,13,1660180483,0.7658,718,513
201512,040021,9,55904686600,5.6092,18892,4467
201512,040036,7,12925836,9.6104,98,72
201512,040036,88,14822753344,0,54,16
201512,040072,9,55538628817,4.7708,9146,6336
201512,040072,10,1550059748,0.8684,663,392
201512,040002,3,273864550,1.99,638,536
201512,040012,30,6132450255,2.4918,3655,1550
201512,040014,8,6494201611,0.8757,2054,1344
201512,040021,7,233033218,7.7506,684,263
201512,040044,9,23556513562,2.4544,434,341
201512,040072,14,9147746655,2.4023,4656,2876
201512,040072,15,11195202249,3.803,2976,2107
201512,040014,6,1577060807,0.3397,782,580
201512,040044,6,736850989,0.5082,13,9
201612,040014,11,6396264864,2.0646,2236,1502
201612,040021,9,63871463175,1.286,15655,4542
201612,040021,18,67766552,3.7708,453,127
201612,040036,16,23878037,17.1246,281,264
201612,040036,24,776475072,0.248,221,161
201612,040036,88,28496044757,0.018,103,19
201612,040072,30,4706973227,3.1603,1507,1011
201512,040002,9,85429405859,0.1522,14449,11308
201512,040012,8,7476805004,0.6304,15256,1226
