cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,dat_responsabilidad_total
201612,5,9,4,74203,1774,6.00623E+11
201512,040012,13,2,473,215,288858077
201512,040012,12,3,141,12,141956672
201512,040012,11,4,18303,62,4860916950
201612,040002,8,1,297,247,317426676
201512,040072,999,2,2,2,5233339
201612,040012,17,3,59,12,73606179
201512,040044,23,3,5,3,53092357
201512,040002,15,2,5074,4122,3226758009
201512,040021,14,3,1204,41,378634634
201612,040002,6,3,8,6,80432960
201512,040044,24,2,13,8,77759108
201512,040036,19,2,165,100,146838218
201612,040014,15,3,210,98,913715282
201612,040021,23,2,246,151,141913902
201612,040044,30,4,55,20,3149661855
201612,040036,2,1,209,193,10597113
201612,040012,3,1,1584,1157,486278815
201612,040002,18,4,5,2,164730883
201612,040014,1,1,668,485,526949215
201512,040044,12,1,5,5,3368515
201612,040021,21,4,708,34,2915926205
201612,040072,17,2,205,141,187496820
201612,040012,2,2,735,396,597055839
201612,040036,999,3,3,1,0
201612,040021,32,2,109,46,101923726
201612,040044,31,3,7,4,46878193
201612,040014,28,3,103,42,431337970
201612,040044,32,2,7,5,17978929
201612,040021,30,4,1268,31,4186988630
201512,040072,21,3,42,30,200937583
201512,040021,9,1,10456,3384,1350369142
201612,040072,15,1,1947,1530,697293883
201612,040002,1,1,182,134,104491767
201512,040072,19,5,7,3,1411495475
201612,040072,16,3,29,19,106692185
201612,040002,20,2,1030,796,419105513
201512,040072,20,4,18,8,125215910
201512,040072,23,1,184,146,71648837
201612,040014,29,2,61,33,85500510
201512,040021,16,1,1805,570,102259002
201612,5,25,3,1633,141,2261146637
201512,040036,20,4,3,3,347165
201512,040014,8,5,4,2,53474593
201612,040002,5,4,544,25,2257006515
201512,040002,14,3,162,91,1012317943
201612,040012,18,2,309,111,190068559
201512,040014,12,1,847,595,443164315
201612,040012,16,4,332,52,4394862570
201512,040014,9,4,2881,473,78031325759
201612,040014,14,4,970,146,9078371514
201612,040072,27,2,243,128,219844402
201512,040044,22,4,21,8,1171726087
201512,040072,26,1,445,353,269502167
201612,040002,27,4,29,7,398642680
201512,040044,4,3,3,1,49620956
201612,040002,24,1,194,165,112396665
201512,040036,15,2,237,164,126635884
201512,040072,19,2,3097,1856,3346265946
201612,040021,25,3,81,11,74885751
201612,040012,29,1,1126,887,300927162
201512,040002,32,4,4,3,66745963
201512,040072,23,4,36,17,4870551909
201612,040014,24,4,355,21,2355080655
201612,040002,29,2,129,111,71981875
201612,040072,3,5,1,1,12703739
201512,040072,4,2,79,67,118097858
201612,040021,25,1,767,368,82414713
201612,040036,31,2,33,24,39146679
201612,040072,4,4,30,9,1011369707
201512,040072,32,3,38,18,88271277
201612,040036,26,4,40,11,558040827
201512,040002,18,4,5,3,186578511
201512,040044,17,4,7,5,109413897
201612,040072,9,2,5461,3647,5197676859
201512,040072,2,4,131,40,3193676794
201512,040002,20,2,815,640,355479778
201612,040036,29,1,100,89,11295566
201612,040036,30,3,12,5,2878568
201612,040012,24,1,3175,2424,850443358
201512,040072,16,4,142,25,3232726363
201612,040021,2,4,276,25,1561534306
201612,040002,18,3,4,3,26083155
201612,040021,31,1,1336,504,155449907
201612,5,5,5,1,1,75249224
201612,040021,4,2,98,57,76178863
201612,040072,22,1,539,438,241900348
201512,040036,3,4,2,2,79844203
201612,040036,6,4,1,1,0
201612,040021,999,3,9,4,4399397
201512,040014,28,3,115,45,395144639
201512,040072,13,4,12,4,238802516
201512,040044,5,4,60,26,2097562488
201612,040072,17,3,14,7,28399203
201512,040044,4,2,4,3,26445015
201612,040002,14,4,304,121,10056138893
201512,040014,24,4,566,18,1941817421
201512,040021,2,1,1200,518,87950553
201512,040012,29,4,16,6,152667225
201612,040044,8,1,28,22,185870217
201512,040002,1,1,146,117,64277775
201612,040044,5,4,67,30,3091214559
201612,040014,25,4,558,58,5135279627
201512,040036,10,3,8,3,9143014
