cve_periodo,cve_institucion,cve_tipo_moneda,cve_destino_credito,cve_TEC,tasa,responsabilidad,plazo
201612,040014,0,30,2,8.4738,2994635,16.0878
201612,040014,1,27,4,3.5822,61400235235,44.0362
201612,040012,0,30,4,8.0563,1328068854,37.5553
201612,040014,1,29,2,3.5548,53433598,0
201612,040012,1,30,3,4.6545,2332296,21.0343
201612,040014,0,29,3,8.664,120927745,18.7392
201512,040014,1,0,4,3.3566,2820641885,43.4044
201512,040072,0,22,4,6.6299,2037543631,92.3851
201512,040072,1,22,3,4.2777,54357885,38.1245
201512,040072,0,25,1,7.2282,126989202,31.2521
201512,040072,1,21,4,2.9383,3157662089,51.2767
201512,040014,1,28,2,3.0329,59264422,30.3784
201512,040012,1,27,5,3.911,209260230,31.1042
201512,040014,0,28,3,7.6408,686782088,25.1196
201512,040012,0,32,1,7.2341,19658618,9.7495
201512,040014,1,29,1,3.4352,26828293,30.1175
201512,040012,1,28,4,3.522,1668388443,2.5363
201512,040012,0,31,2,9.32,1923077,15
201512,040014,0,27,4,5.7521,90109643202,30.8784
201512,040014,0,30,1,6.9765,7390002,26.578
201512,040012,0,30,3,7.4471,187547789,28.7868
201512,040014,1,27,3,4.8668,1356002991,8.274
201512,040014,0,29,2,6.695,249183929,25.1348
201512,040012,1,30,2,0.3968,6871784,44.0415
201612,5,1,28,1,2.9922,113218027,12.5889
201612,5,1,27,2,5.1857,6930266450,20.0464
201612,5,0,27,3,9.5532,50436944736,19.2958
201612,5,0,28,2,9.7296,1731059951,10.3752
201612,5,2,27,1,9.2836,7695328,57.145
201612,5,0,26,4,8.8226,3813425346,67.3278
201612,5,0,25,5,8.6985,1542003125,86.2528
201612,5,0,0,1,13.6787,421446395,73.7947
201612,040012,0,22,1,9.0799,1132537,13.7999
201512,040014,0,0,1,12.4425,157481998,6.8267
201612,040044,0,32,4,6.5883,3827654939,19
201612,040014,0,0,2,16.9875,88728102,3.0919
201612,040044,0,32,2,8.0759,46509871,
201512,040002,1,22,4,2.9922,3349858664,43.4896
201612,5,0,31,4,9.8165,24813263,37.4904
201612,5,1,30,4,4.6286,1509596326,81.5523
201612,5,0,33,2,11.04,248407,20
201612,5,0,32,3,9.0556,43945692,13.6527
201512,040012,0,32,2,7.1106,40161515,28.8535
201512,040014,1,28,3,2.3285,157574790,16.9971
201512,040014,0,28,4,7.2985,8104190384,25.2449
201612,040044,1,32,4,7.0087,61050005,6
201512,040014,0,27,5,6.283,1911035783,52.6987
201612,040036,0,22,1,9.8673,158675542,72.5066
201512,040002,1,22,1,4.848,8717871,26.4988
201512,040002,0,22,2,7.1252,275669712,30.3562
201612,040072,0,0,4,8.0092,800103785,117.1829
201612,040044,0,0,3,7.57,35451589,25.8866
201512,040072,0,27,2,10.2601,23814758299,23.2631
201512,040072,1,27,1,5.3402,74878909,31.5328
201512,040072,0,26,3,7.6489,10325817,23.4861
201512,040014,0,30,4,7.1797,3414592,28.5528
201612,040044,1,27,4,3.4437,6779969268,38.0844
201612,040072,1,27,3,4.5391,193531058,10.3171
201612,040072,0,27,4,8.2182,92980966202,87.8746
201612,040072,0,30,1,12.568,1027770,46.9535
201612,040072,1,26,4,4.3877,224271933,76
201612,040072,1,22,2,4.8963,87364189,38.4499
201612,040072,0,21,4,8.0043,7996572674,79.531
201612,040072,0,22,3,9.6166,316602821,41.6736
201512,040072,0,27,4,6.1512,84019150138,79.3205
201512,040072,0,26,5,6.4494,693926497,42.9905
201512,040072,1,27,3,4.5204,230990580,13.488
201612,040072,0,22,2,10.3045,1511769973,46.1849
201612,040072,0,21,3,9.4794,199284439,45.5128
201612,040072,1,22,1,5.3381,36548834,54.4644
201512,040036,0,27,2,11.5985,2205937204,52.5226
201512,040021,1,22,2,6.649,51794498,23.8958
201512,040044,0,32,2,7.2734,7935168,8
201512,040021,0,22,3,6.9405,46130032,17.7699
201612,040021,0,27,3,9.5331,2543408800,24.8366
201612,040072,1,21,4,3.3041,3920224419,40.6852
201612,040072,0,25,1,9.9841,193572829,28.7954
201512,040012,0,0,1,7.7156,33592595,95.7439
201612,040014,0,28,4,8.6316,10231207491,20.1361
201612,040012,0,27,3,9.2746,10489594286,15.8327
201612,040021,0,26,2,12,1032182,102
201612,040012,2,27,1,9.2629,7479928,58.1189
201512,040072,1,22,4,4.7383,2267380178,70.6464
201612,040021,0,27,1,15.8312,4610637037,62.2
201612,5,0,33,1,11.0134,1561816,27.2391
201612,5,1,32,4,2.7315,1034934729,1.4797
201612,5,1,29,4,3.6878,96447298,27.716
201612,5,0,30,4,7.9086,3031433767,36.905
201612,5,0,32,2,10.2314,371736161,18.3997
201612,040012,0,32,2,8.496,27762913,11.8713
201612,040014,0,27,5,7.6432,1470824146,75.3309
201612,040014,1,28,3,2.9889,74128424,5.4614
201612,040002,1,22,1,5.2248,4051910,27.7414
201512,040014,0,27,1,10.3592,38504344283,26.4405
201512,040021,0,25,4,7.0396,515069241,22.3351
