cve_institucion,cve_periodo,id,cve_tipo_moneda,monto_dispuesto,creditos
040014,201612,1,0,8634136881,66
040072,201612,2,0,403197149,51
040002,201612,6,0,250551384,30
040012,201612,14,0,43258753,6
040012,201512,3,1,743609720,1347
040072,201612,4,0,215014346,32
040044,201512,0,0,7000000,1
040072,201612,7,1,134103796,9
040014,201612,13,1,72234981,3
040036,201512,5,0,302563839,12
040002,201512,13,1,3770572347,121
040044,201512,12,0,657242742,21
040012,201512,7,0,1483724384,379
040014,201512,5,0,820166930,133
040014,201612,10,0,1736151605,734
040036,201612,2,0,57631280,2
040014,201612,14,1,915188952,60
040002,201512,1,0,5401760,4
040072,201512,13,0,3791292898,47
040014,201612,11,1,81901996,11
040036,201512,1,1,322328835,2
040002,201612,1,0,2184092433,15
