cve_institucion,cve_periodo,id,cve_tipo_moneda,tasa
040072,201612,4,0,9.513558
040072,201512,1,1,2.710874
040014,201512,1,1,1.80446
040036,201512,12,0,7.302841
040044,201612,11,0,7.088579
040002,201512,2,1,5.5
040014,201512,10,0,10.884303
040072,201612,7,1,4.804584
040014,201612,13,1,3.747395
040002,201512,12,0,6.093588
040012,201612,3,1,2.806012
040044,201612,10,1,7.6
040072,201612,2,1,4.554124
040014,201612,6,1,4.934312
040002,201612,2,1,2.73
040021,201512,12,0,7.350747
040014,201512,1,0,3.981455
040002,201612,12,1,2.917827
040002,201512,9,1,1.523032
040014,201612,11,0,12.747997
040044,201512,12,0,7.114806
040044,201512,10,1,3.676316
040044,201512,14,0,5.381852
040036,201612,10,0,8.937757
040012,201612,4,0,8.303576
040072,201512,8,0,10.78805
040012,201512,13,1,4.376812
040002,201512,8,1,1.743838
040036,201612,7,1,5.240932
040002,201612,4,0,7.107682
040036,201512,14,0,6.223286
040021,201612,8,0,35.013029
040014,201512,5,0,6.574431
040044,201612,14,0,8.017445
040012,201612,5,0,8.275916
040036,201512,5,0,6.224628
040072,201512,14,1,4.516542
040012,201512,14,0,5.608328
040036,201612,8,0,9.235001
040036,201512,13,1,4.334354
040072,201512,4,1,3.587945
040036,201612,6,0,9.036773
040072,201512,1,0,5.992341
040002,201612,9,1,2.78361
040002,201512,5,0,6.561671
040072,201512,6,0,6.866698
040002,201612,14,1,2.765669
040044,201612,12,0,9.074645
040002,201612,13,0,8.088276
040002,201512,6,1,1.903669
040002,201512,10,0,7.948653
040036,201612,6,1,4.8
040012,201512,9,0,6.655234
040014,201512,6,1,4.099674
040036,201612,2,0,9.167989
040014,201612,14,1,2.946047
040002,201512,1,0,4.694198
040072,201512,13,0,5.746025
040014,201612,11,1,3.18
040036,201512,1,1,5.44
040002,201612,1,0,6.279642
