cve_periodo,cve_institucion,cve_destino_credito,cve_TEC,dat_responsabilidad_total
201612,040072,27,4,1.21954E+11
201512,040002,27,5,1331971415
201512,5,25,2,3038484694
201512,040072,30,1,310734
201612,040021,27,3,2941024060
201612,040021,25,5,394745159
201512,040021,26,1,61766
201512,040072,21,1,187024878
201612,040014,32,1,1219257
201512,5,28,1,1273692612
201512,040014,30,2,7152155
201512,040012,27,2,24481801311
201512,040012,24,3,9496
201512,040012,22,1,6772489
201512,040072,21,2,542007498
201612,040072,25,1,193572829
201612,040012,28,1,275740985
201512,040072,26,2,136684203
201512,040072,27,1,10164588514
201612,040072,0,4,800103785
201612,040072,28,4,10822364
201612,040021,27,4,1.07122E+11
201512,5,29,1,143781470
201512,5,32,2,375420049
201512,5,21,1,1506028399
201512,040012,0,1,39521836
201512,040072,30,4,42395802
201512,040014,28,1,531259357
201512,040012,30,1,61396681
201512,040021,22,1,119309439
201512,040012,28,2,496788700
201612,5,23,2,50500005
201612,5,29,3,146612097
201612,5,32,5,6345149084
201612,5,26,2,220513827
201512,5,30,2,512645631
201612,5,21,4,47193471505
201512,5,24,2,551342311
201512,040014,27,5,3456115607
201512,040002,29,4,4724069
201612,040014,22,3,2683306821
201512,040002,24,3,228741305
201612,040021,27,2,7005347216
201612,040044,21,2,765780857
201612,040072,25,3,179329324
201612,040002,28,4,7727005310
201512,040002,24,4,1876927561
201512,040014,24,4,134174202
201612,5,22,2,17424237909
201512,5,23,2,54903220
201612,5,24,1,98271565
201612,040021,0,5,488980650
201512,040002,28,2,110936000
201612,040072,27,2,26187477177
201512,040072,22,4,4304923809
201512,040014,0,3,44941900
201512,040072,22,3,399703200
201612,040021,22,4,2531265110
201612,040012,24,1,0
201512,5,23,3,6948978
201512,040012,22,4,237074548
201512,040044,27,4,36468688753
201612,040002,29,4,27176446
201512,040002,22,1,66166062
201512,040072,25,2,363155590
201612,040072,26,2,61499599
201612,040036,27,4,1.10438E+11
201512,040012,32,3,16923035
201512,040012,27,4,2.23755E+11
201512,5,31,2,5948981
201612,040002,29,3,0
201612,5,21,1,2048758582
201612,5,25,2,3572491247
201512,5,32,4,10775373985
201612,040044,28,3,55521064
201512,040012,30,4,1143421281
201612,040072,0,1,2142992
201512,040021,22,2,198234390
201612,040014,22,4,12627906276
201512,5,28,3,2132109874
201612,5,27,1,1.60829E+11
201512,5,25,1,1746199939
201612,5,28,2,1869400405
201512,5,26,1,122519340
201512,040021,26,2,911321
201612,040072,21,3,210458077
201612,040002,0,4,5448157
201512,040021,27,4,94819800315
201612,040012,25,4,196114089
201612,040021,24,1,5360512
201612,040044,28,2,100126579
201612,040021,24,3,1448601
201512,040021,32,5,49899542
201512,040072,31,2,4025904
201612,5,30,1,222279474
201512,5,33,1,2610037
201612,040012,32,4,6283141319
201512,040021,27,5,794875145
201512,040072,0,1,6170930
201612,040072,22,3,362569818
201612,5,26,5,1271412737
201612,5,26,3,19273585
201612,5,22,3,6215356167
201512,5,24,1,123453479
201612,040072,26,4,1528082861
201612,040072,21,2,441726306
201512,040072,22,1,803005911
201612,040012,24,2,0
201512,040044,21,1,171928119
201612,040012,27,2,28510946960
201512,040044,27,5,383314096
201512,040044,29,4,20703099
201512,5,32,3,63466690
201612,5,21,3,2349518815
201512,040072,32,4,649565533
201612,040012,32,2,27762913
201612,040072,22,1,882808531
201612,040014,28,4,13012148242
201512,040044,21,2,673618693
201512,040012,25,3,8891113
201612,040072,25,2,358904798
201612,040021,22,3,68935873
201612,040044,32,2,46509871
201512,040014,0,1,157481998
201512,040021,0,5,1735331393
201612,040012,22,3,14843366
201512,040036,22,3,1985735
201512,040002,29,3,15046610
201512,040014,27,2,28229808017
201612,040014,27,2,32223399319
201512,5,0,1,446440137
201512,5,0,3,165494745
201512,040072,21,4,5958433620
201512,5,29,2,307852087
201512,5,30,4,2724525523
201512,5,30,3,374783485
201612,5,0,4,63505263852
201512,040044,28,3,97996238
201512,040072,26,4,1871244015
201612,040012,30,3,181980350
201612,5,31,4,24813263
201512,5,27,5,65157162319
201512,040036,27,2,2464184574
201512,040072,27,4,1.06528E+11
201612,040012,31,4,20229921
201512,040072,25,3,245721335
201512,040036,27,3,963236327
201612,040036,22,4,18947838281
201512,040014,30,3,13142585
201612,5,28,1,1361616840
201512,5,27,1,1.41415E+11
201612,5,27,2,1.71162E+11
201612,5,0,2,502309105
201512,5,23,1,36175395
201612,040014,32,4,5636254
201512,040012,25,2,17611112
201512,040021,26,5,556660606
201512,040002,28,3,215446169
201512,040002,30,1,24648799
201612,040002,24,3,152205509
201512,040021,22,4,1101359145
201512,040044,26,3,29662084
201512,040012,31,2,1923077
201512,040014,32,2,8543020
201512,040021,24,1,7476345
201612,040021,27,5,438631206
201512,040072,27,3,7104892087
201512,040021,0,4,9605161229
201612,040072,26,1,81678422
201612,040021,26,2,1032182
201612,040021,21,3,12999318
201612,040072,27,5,6562896675
201512,040012,21,4,138985797
201612,040014,29,4,615810787
201512,040072,26,3,10325817
201512,040072,27,2,24531974204
201512,040044,24,2,0
201612,040044,21,1,219561526
201612,040012,27,3,11957729164
201512,040072,0,5,348881216
201512,040044,25,2,103164766
201612,040002,27,2,35071230924
201612,040072,27,1,11883137921
201612,040044,25,4,1141693328
201612,040012,25,3,8891113
201512,040044,25,4,546169097
201612,040044,21,3,315396749
201612,5,30,4,4541030093
201512,5,21,5,2809789954
201512,040014,28,2,670092146
201512,040012,0,2,43034233
201612,040012,27,4,2.67392E+11
201612,040012,27,5,4291887637
201612,040072,22,2,1599134162
201512,040002,22,2,332640786
201612,040072,26,3,6244433
201512,040002,29,2,3423203
201612,040021,21,4,52036277
201512,040044,21,3,285647108
201612,040044,22,4,30050478397
201612,5,32,3,43945692
201612,5,26,1,157323261
201612,5,33,2,248407
201512,5,22,4,58597088901
201512,040012,32,2,43370771
201512,040002,27,3,8020983739
201512,040012,22,3,29078343
201612,040072,30,4,48124224
201612,040044,25,2,92064510
201612,040072,32,4,982579982
201512,040072,0,4,1734363575
201512,040021,21,4,83696658
201512,040044,22,4,13085581867
201512,040014,22,4,13107561673
201512,040012,30,2,188066981
201612,040012,22,1,1132537
201512,040014,32,4,14263847
201612,040021,26,1,31680
201612,040014,22,5,38496918
201612,040044,22,3,596212028
201612,040002,30,2,359444242
201612,040002,24,4,1317380018
