cve_periodo,cve_institucion,cve_TEC,cve_dato,saldo
201611,40014,3,4,1351
201611,40072,5,3,59
201611,40128,4,3,408
201611,40127,4,0,11468845764
201611,40002,2,0,35300328129
201611,40133,4,3,102
201611,40036,2,0,1889236710
201611,40102,2,2,104085162
201611,40014,5,3,84
201611,40021,2,2,568732443
201611,40145,4,0,2551076717
201611,40102,4,3,45
201611,5,5,1,83130460071
201611,40154,2,2,146379909
201611,40044,1,4,438
201611,40060,1,3,384
201611,40002,4,0,1.87911E+11
201611,40112,4,0,15296192837
201611,40072,3,4,1382
201611,40036,1,1,1292442848
201611,40021,3,2,264962942
201611,40147,2,3,240
201611,40143,3,1,160126827
201611,40044,2,0,4763460818
201611,40127,1,1,246315
201611,40059,3,3,70
201611,40127,1,3,2
201611,40154,1,4,131
201611,40106,2,4,2
201611,40014,2,4,13484
201611,40014,5,1,2968920565
201611,40138,4,2,3620046
201611,40030,2,0,16576116036
201611,40154,4,0,1432787339
201611,40152,1,4,96
201611,40072,3,3,2913
201611,40110,3,0,44843444
201611,40154,1,0,534374640
201611,40042,3,2,20556421
201611,40060,1,1,746082710
201611,40137,4,4,24
201611,40036,2,1,1602829759
201611,40140,4,3,1
201611,40037,1,1,78410082
201611,40156,4,0,2861009220
201611,40042,2,1,2262927954
201611,40060,3,4,33
201611,40036,5,0,48571144968
201611,40037,3,3,5
201611,40156,3,1,390454025
201611,40042,2,3,363
201611,40021,5,4,9
201611,40036,4,4,397
201611,40062,1,0,1749215745
201611,40112,2,1,475635036
201611,40030,1,1,9838960423
201611,40128,2,0,289736183
201611,40037,4,4,44
201611,40030,1,3,18077
201611,40014,5,4,15
201611,40145,4,1,2467741736
201611,40072,3,2,411709608
201611,40042,1,1,497539077
201611,40106,4,4,22
201611,40132,4,4,100
201611,40156,1,0,223504385
201611,40014,4,1,2.04953E+11
201611,40012,2,4,16526
201611,40143,5,1,18691014
201611,40058,1,1,8333826267
201611,40036,3,0,717118978
201611,40108,4,4,30
